flowid,sport,dsport,timestamp,totalHeaderSize,max_pkt_size,mean_pkt_size,attack_cat,Label
2931,62762,56430,2015-02-18 00:23:27.760103,256,64,64.0,BENIGN,0
14190,62708,179,2015-02-18 00:23:29.218521,256,64,64.0,BENIGN,0
10577,61809,161,2015-02-18 00:23:33.347124,88,85,85.0,BENIGN,0
14226,62969,179,2015-02-18 00:23:35.908011,256,64,64.0,BENIGN,0
12332,32473,80,2015-02-18 00:23:36.650797,256,64,64.0,BENIGN,0
2243,49194,80,2015-02-18 00:23:42.156531,256,64,64.0,BENIGN,0
824,16726,80,2015-02-18 00:23:47.667151,256,64,64.0,BENIGN,0
9948,52231,8983,2015-02-18 00:23:51.207738,256,64,64.0,BENIGN,0
8328,10975,80,2015-02-18 00:23:57.008690,256,64,64.0,BENIGN,0
882,18446,80,2015-02-18 00:24:15.878896,256,64,64.0,BENIGN,0
11048,1603,514,2015-02-18 00:24:26.163185,88,646,646.0,BENIGN,0
12023,24186,514,2015-02-18 00:24:26.235083,88,334,334.0,BENIGN,0
11011,1280,514,2015-02-18 00:24:26.534836,88,564,564.0,BENIGN,0
12525,37367,514,2015-02-18 00:24:26.769774,88,119,119.0,BENIGN,0
12016,24126,514,2015-02-18 00:24:27.555583,88,132,132.0,BENIGN,0
10976,1032,514,2015-02-18 00:24:28.555313,88,103,103.0,BENIGN,0
11259,4602,514,2015-02-18 00:24:29.676172,88,945,945.0,BENIGN,0
14583,65401,514,2015-02-18 00:24:30.030679,88,319,319.0,BENIGN,0
12046,24872,514,2015-02-18 00:24:30.200480,88,318,318.0,BENIGN,0
13495,56650,514,2015-02-18 00:24:30.470954,88,387,387.0,BENIGN,0
12013,24063,514,2015-02-18 00:24:30.636981,88,1092,1092.0,BENIGN,0
11997,23646,514,2015-02-18 00:24:30.837721,88,761,761.0,BENIGN,0
11123,2545,514,2015-02-18 00:24:34.719838,88,985,985.0,BENIGN,0
11134,2627,514,2015-02-18 00:24:35.678917,88,378,378.0,BENIGN,0
11860,20507,514,2015-02-18 00:24:35.817699,88,631,631.0,BENIGN,0
10970,1026,514,2015-02-18 00:24:36.282390,88,1076,1076.0,BENIGN,0
10991,1089,514,2015-02-18 00:24:36.783592,88,767,767.0,BENIGN,0
12112,26606,514,2015-02-18 00:24:38.098325,88,277,277.0,BENIGN,0
14621,65513,514,2015-02-18 00:24:38.898754,88,1095,1095.0,BENIGN,0
11130,2608,514,2015-02-18 00:24:39.191141,88,242,242.0,BENIGN,0
12963,48667,80,2015-02-18 00:24:39.559595,256,64,64.0,BENIGN,0
6881,57214,80,2015-02-18 00:24:46.232591,256,64,64.0,BENIGN,0
4151,8622,111,2015-02-18 00:24:56.085193,88,100,100.0,BENIGN,0
13736,58747,110,2015-02-18 00:24:59.888358,256,64,64.0,BENIGN,0
3697,4147,111,2015-02-18 00:25:01.032073,256,64,64.0,BENIGN,0
9556,43663,21,2015-02-18 00:25:03.674919,256,64,64.0,BENIGN,0
10043,54767,63777,2015-02-18 00:25:04.594429,256,64,64.0,BENIGN,0
5279,29989,111,2015-02-18 00:25:06.914520,256,64,64.0,BENIGN,0
7318,63361,554,2015-02-18 00:25:07.408749,256,64,64.0,BENIGN,0
9560,43751,111,2015-02-18 00:25:14.346609,256,64,64.0,BENIGN,0
11591,14312,25,2015-02-18 00:25:23.126855,256,64,64.0,BENIGN,0
5137,25851,110,2015-02-18 00:25:39.163583,256,64,64.0,BENIGN,0
13953,60586,111,2015-02-18 00:25:41.011523,88,100,100.0,BENIGN,0
6665,54099,5405,2015-02-18 00:25:43.226404,256,64,64.0,BENIGN,0
12687,41811,111,2015-02-18 00:25:44.527936,88,100,100.0,BENIGN,0
13313,54253,80,2015-02-18 00:25:45.457829,256,64,64.0,BENIGN,0
1596,36180,111,2015-02-18 00:25:51.198519,256,64,64.0,BENIGN,0
14445,64709,21,2015-02-18 00:25:57.280846,256,64,64.0,BENIGN,0
8350,11701,179,2015-02-18 00:26:00.254701,256,64,64.0,BENIGN,0
8577,17803,80,2015-02-18 00:26:00.296620,256,64,64.0,BENIGN,0
598,9788,139,2015-02-18 00:26:01.293176,256,64,64.0,BENIGN,0
129,1107,110,2015-02-18 00:26:02.300254,256,64,64.0,BENIGN,0
0,138,138,2015-02-18 00:34:17.200328,176,279,267.5,BENIGN,0
54508,27785,80,2015-02-18 00:37:40.926785,280,72,70.0,BENIGN,0
143081,55220,53,2015-02-18 00:37:41.125324,88,82,82.0,BENIGN,0
104008,25953,53,2015-02-18 00:37:41.625100,88,89,89.0,BENIGN,0
111444,55117,80,2015-02-18 00:37:41.626586,280,72,70.0,BENIGN,0
163439,7959,53,2015-02-18 00:37:42.025316,88,82,82.0,BENIGN,0
117584,14161,53,2015-02-18 00:37:42.325318,88,89,89.0,BENIGN,0
92261,45472,53,2015-02-18 00:37:42.425112,88,89,89.0,BENIGN,0
147934,9644,9091,2015-02-18 00:37:42.525083,280,72,70.0,BENIGN,0
164731,13078,53,2015-02-18 00:37:42.725108,88,89,89.0,BENIGN,0
97001,64576,80,2015-02-18 00:37:42.926532,280,72,70.0,BENIGN,0
176718,62103,53,2015-02-18 00:37:43.325273,88,82,82.0,BENIGN,0
167849,25891,80,2015-02-18 00:37:43.326549,280,72,70.0,BENIGN,0
136115,26215,1511,2015-02-18 00:37:43.425119,280,72,70.0,BENIGN,0
109716,48152,53,2015-02-18 00:37:44.025120,88,89,89.0,BENIGN,0
41089,40842,53,2015-02-18 00:37:44.125320,88,82,82.0,BENIGN,0
107607,39918,53,2015-02-18 00:37:44.225140,88,89,89.0,BENIGN,0
108111,41838,80,2015-02-18 00:37:44.226649,280,72,70.0,BENIGN,0
40658,39190,53,2015-02-18 00:37:44.325120,88,89,89.0,BENIGN,0
33788,11501,80,2015-02-18 00:37:44.326414,280,72,70.0,BENIGN,0
56884,37196,53,2015-02-18 00:37:44.525136,88,89,89.0,BENIGN,0
151559,24703,62973,2015-02-18 00:37:45.040132,176,164,148.0,BENIGN,0
145803,1449,80,2015-02-18 00:37:45.626562,280,72,70.0,BENIGN,0
32992,8324,5190,2015-02-18 00:37:46.125129,280,72,70.0,BENIGN,0
83340,9792,5190,2015-02-18 00:37:46.225144,280,72,70.0,BENIGN,0
57778,40545,53,2015-02-18 00:37:46.325174,88,89,89.0,BENIGN,0
145108,63578,16155,2015-02-18 00:37:46.429862,280,72,70.0,BENIGN,0
160966,63355,53,2015-02-18 00:37:46.725334,88,82,82.0,BENIGN,0
46268,60884,53,2015-02-18 00:37:46.925201,88,82,82.0,BENIGN,0
37594,26990,80,2015-02-18 00:37:46.926508,280,72,70.0,BENIGN,0
94204,53274,111,2015-02-18 00:37:47.325176,176,158,158.0,BENIGN,0
142400,52414,22,2015-02-18 00:37:47.425168,280,72,70.0,BENIGN,0
35395,17930,53,2015-02-18 00:37:48.425195,88,89,89.0,BENIGN,0
160902,63090,53,2015-02-18 00:37:48.525196,88,89,89.0,BENIGN,0
160249,60561,59248,2015-02-18 00:37:48.630213,280,72,70.0,BENIGN,0
62746,59690,53,2015-02-18 00:37:48.725208,88,82,82.0,BENIGN,0
137333,31422,53,2015-02-18 00:37:48.825235,88,89,89.0,BENIGN,0
63426,62558,5190,2015-02-18 00:37:50.325229,280,72,70.0,BENIGN,0
130172,1771,50363,2015-02-18 00:37:50.925235,280,72,70.0,BENIGN,0
32268,5607,4283,2015-02-18 00:37:51.425227,280,72,70.0,BENIGN,0
47547,1207,53,2015-02-18 00:37:51.925266,88,89,89.0,BENIGN,0
62902,60415,80,2015-02-18 00:37:51.926549,280,72,70.0,BENIGN,0
129229,63177,6978,2015-02-18 00:37:52.027060,176,160,146.0,BENIGN,0
111666,55929,53,2015-02-18 00:37:52.525258,88,81,81.0,BENIGN,0
87742,27406,55730,2015-02-18 00:37:52.625253,280,72,70.0,BENIGN,0
27575,51949,28775,2015-02-18 00:37:52.825242,280,72,70.0,BENIGN,0
42521,46279,53,2015-02-18 00:37:53.025266,88,89,89.0,BENIGN,0
31854,3981,80,2015-02-18 00:37:53.026597,280,72,70.0,BENIGN,0
93454,50169,111,2015-02-18 00:37:53.125272,176,158,158.0,BENIGN,0
82615,6989,53,2015-02-18 00:37:53.325399,88,82,82.0,BENIGN,0
161154,64108,80,2015-02-18 00:37:53.826716,280,72,70.0,BENIGN,0
94484,54359,80,2015-02-18 00:37:53.926614,280,72,70.0,BENIGN,0
94081,52734,53,2015-02-18 00:37:54.825298,88,82,82.0,BENIGN,0
42204,44990,53,2015-02-18 00:37:54.925322,88,89,89.0,BENIGN,0
74706,41722,38438,2015-02-18 00:37:55.230208,280,72,70.0,BENIGN,0
83736,11266,25,2015-02-18 00:37:55.326603,280,72,70.0,BENIGN,0
74308,40085,41562,2015-02-18 00:37:55.525285,280,72,70.0,BENIGN,0
68798,17973,53,2015-02-18 00:37:55.725311,88,82,82.0,BENIGN,0
112892,60587,13907,2015-02-18 00:37:55.825318,280,72,70.0,BENIGN,0
28584,55839,25,2015-02-18 00:37:56.126673,280,72,70.0,BENIGN,0
168484,28394,60451,2015-02-18 00:37:56.325295,280,72,70.0,BENIGN,0
100019,10782,47384,2015-02-18 00:37:56.725319,280,72,70.0,BENIGN,0
108705,44132,80,2015-02-18 00:37:56.926662,280,72,70.0,BENIGN,0
117330,13026,5190,2015-02-18 00:37:57.325304,280,72,70.0,BENIGN,0
134477,19529,5190,2015-02-18 00:37:57.725308,280,72,70.0,BENIGN,0
168639,29033,25,2015-02-18 00:37:58.126748,280,72,70.0,BENIGN,0
44442,53776,53,2015-02-18 00:37:58.425343,88,82,82.0,BENIGN,0
109785,48454,49729,2015-02-18 00:37:58.627265,176,164,148.0,BENIGN,0
98302,4055,53,2015-02-18 00:37:58.725346,88,82,82.0,BENIGN,0
108545,43500,80,2015-02-18 00:37:58.726863,280,72,70.0,BENIGN,0
34152,12946,53,2015-02-18 00:37:58.825379,88,82,82.0,BENIGN,0
99943,10473,80,2015-02-18 00:37:58.926586,280,72,70.0,BENIGN,0
72741,33928,13216,2015-02-18 00:37:59.030219,280,72,70.0,BENIGN,0
46859,63234,53,2015-02-18 00:37:59.525350,88,81,81.0,BENIGN,0
103601,24382,19364,2015-02-18 00:37:59.727350,176,160,146.0,BENIGN,0
135839,25146,53,2015-02-18 00:37:59.825366,88,82,82.0,BENIGN,0
114320,1262,5190,2015-02-18 00:38:00.325348,280,72,70.0,BENIGN,0
97907,2621,53197,2015-02-18 00:38:00.425354,280,72,70.0,BENIGN,0
123168,37895,44790,2015-02-18 00:38:00.630144,280,72,70.0,BENIGN,0
23095,34106,53,2015-02-18 00:38:01.025396,88,82,82.0,BENIGN,0
133688,16190,111,2015-02-18 00:38:01.125388,176,158,158.0,BENIGN,0
176905,62834,53,2015-02-18 00:38:01.325393,88,82,82.0,BENIGN,0
168813,29786,27672,2015-02-18 00:38:01.925382,280,72,70.0,BENIGN,0
59191,45918,53,2015-02-18 00:38:02.525413,88,82,82.0,BENIGN,0
84862,15744,5190,2015-02-18 00:38:02.925392,280,72,70.0,BENIGN,0
161384,65046,25,2015-02-18 00:38:03.126786,280,72,70.0,BENIGN,0
